case_id,severity,code,message
230906d12,warning,affine_mismatch_nc,"Affine differs from PVP; translation=[0.0, 0.0, 3.9] mm, voxel_shift=[-0.0, -0.0, 0.78]"
230906d12,warning,affine_mismatch_art,"Affine differs from PVP; translation=[0.0, 0.0, 3.9] mm, voxel_shift=[-0.0, -0.0, 0.78]"
